task,conv,max_turn_tokens,avg_payloads_per_dialogue,se_avg_payloads,bits_per_token,se_bits_per_token,dialogue_err_rate,se_dialogue_err_rate,efficiency,se_efficiency,dialogues_with_error,n_dialogues,filler_turns,filler_tokens_total,correct,errors,err_rate,se_err_rate,wm_tokens_total,pad_tokens_total,coded_bits_correct,avg_wm_turn_len,avg_entropy_bits,perplexity_wm,perplexity_baseline
tictactoe,chat,90,7.2000,0.6289,0.055957,0.003508,0.0000,0.0000,0.8793,0.0294,0,10,13,457,72,0,0.000000,0.000000,3328,0,186.2244,38.2312,1.8922,3.3111,3.4781
tictactoe,debate,300,9.8000,0.2000,0.024698,0.000903,0.0000,0.0000,0.9937,0.0068,0,10,1,64,98,0,0.000000,0.000000,10121,0,249.9717,102.1900,1.7441,3.0676,3.1671
chess,chat,90,4.7000,0.3958,0.087469,0.006763,0.1000,0.1000,0.7828,0.0229,1,10,23,640,46,1,0.021277,0.025000,2306,0,201.7036,29.8423,1.9505,3.4127,3.5510
chess,debate,300,9.1000,0.3786,0.043992,0.002298,0.0000,0.0000,0.9765,0.0102,0,10,4,225,91,0,0.000000,0.000000,9360,0,411.7681,97.4122,1.8486,3.3603,3.2411
go19,chat,90,2.8000,0.3590,0.096983,0.008921,0.1000,0.1000,0.6807,0.0246,1,10,35,1109,27,1,0.035714,0.050000,2364,0,229.2678,36.1250,1.7980,3.1159,3.1175
go19,debate,300,7.8000,0.6289,0.069746,0.003293,0.0000,0.0000,0.9309,0.0291,0,10,11,704,78,0,0.000000,0.000000,9485,0,661.5371,104.9826,1.8149,3.2401,3.2864
