task,conv,max_turn_tokens,avg_payloads_per_dialogue,se_avg_payloads,bits_per_token,se_bits_per_token,dialogue_err_rate,se_dialogue_err_rate,efficiency,se_efficiency,dialogues_with_error,n_dialogues,filler_turns,filler_tokens_total,correct,errors,err_rate,se_err_rate,wm_tokens_total,pad_tokens_total,coded_bits_correct,avg_wm_turn_len,avg_entropy_bits,perplexity_wm,perplexity_baseline
tictactoe,chat,90,7.0500,0.1909,0.060941,0.001394,0.0500,0.0219,0.8729,0.0098,5,100,134,4226,700,5,0.007092,0.004088,29020,0,1768.5103,33.3411,1.9382,3.4486,3.5437
tictactoe,debate,300,9.9000,0.0438,0.024858,0.000416,0.0100,0.0100,0.9980,0.0013,1,100,3,192,989,1,0.001010,0.001000,97924,0,2434.2003,98.1934,1.7689,3.1694,3.1784
chess,chat,90,4.9100,0.1753,0.086348,0.002147,0.0600,0.0239,0.7862,0.0101,6,100,235,6761,485,6,0.012220,0.007933,24857,0,2146.3641,32.1803,1.9778,3.5480,3.6097
chess,debate,300,9.3400,0.1047,0.046127,0.000636,0.0100,0.0100,0.9809,0.0039,1,100,29,1785,933,1,0.001071,0.001250,91790,0,4233.9674,94.3016,1.7851,3.2042,3.2298
go19,chat,90,2.7000,0.0990,0.102291,0.003290,0.0900,0.0288,0.6671,0.0060,9,100,348,10811,261,9,0.033333,0.017415,21667,0,2216.3401,33.0714,1.9788,3.6105,3.5877
go19,debate,300,7.7000,0.1605,0.076827,0.001270,0.0300,0.0171,0.9271,0.0066,3,100,105,6662,767,3,0.003896,0.002289,84677,0,6505.5041,94.1483,1.8310,3.2743,3.3148
